TimeStamp;Live_Power;EVSE_Current_power;shaper_max_power;Charging_Current;Current_Capacity;FirmWare
17/12/2023 15:01:28;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:29;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:30;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:31;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:32;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:33;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:34;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:35;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:36;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:37;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:38;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:39;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:40;7491.74000000000;7114.91000000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:41;7498.72000000000;7124.28210000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:42;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:43;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:44;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:45;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:46;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:47;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:48;7498.72000000000;7074.11100000000;8400;31.0200000000000;32;V5.0.2
17/12/2023 15:01:49;7498.72000000000;7074.11100000000;8400;31.0200000000000;32;V5.0.2
17/12/2023 15:01:50;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:51;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:52;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:53;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:54;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:55;7498.72000000000;7124.28200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:56;7492.16000000000;7113.66061000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:57;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:58;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:01:59;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:00;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:01;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:02;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:03;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:04;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:05;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:06;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:07;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:08;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:09;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:10;7492.16000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:11;7490.08000000000;7113.66040000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:12;7490.08000000000;7116.15939000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:13;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:14;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:15;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:16;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:17;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:18;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:19;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:20;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:21;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:22;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:23;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:24;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:25;7490.08000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:26;7499.35000000000;7116.15960000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:27;7499.35000000000;7113.97284000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:28;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:29;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:30;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:31;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:32;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:33;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:34;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:35;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:36;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:37;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:38;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:39;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:40;7499.35000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
