"Date-time string","solar:solar ()"
2020-03-16T12:38:00+00:00,1339
2020-03-16T12:39:00+00:00,1283
2020-03-16T12:40:00+00:00,1958
2020-03-16T12:41:00+00:00,1852
2020-03-16T12:42:00+00:00,1102
2020-03-16T12:43:00+00:00,877
2020-03-16T12:44:00+00:00,1389
2020-03-16T12:45:00+00:00,1311
2020-03-16T12:46:00+00:00,1296
2020-03-16T12:47:00+00:00,1104
2020-03-16T12:48:00+00:00,941
2020-03-16T12:49:00+00:00,888
2020-03-16T12:50:00+00:00,946
2020-03-16T12:51:00+00:00,1007
2020-03-16T12:52:00+00:00,1096
2020-03-16T12:53:00+00:00,1061
2020-03-16T12:54:00+00:00,1091
2020-03-16T12:55:00+00:00,1067
2020-03-16T12:56:00+00:00,982
2020-03-16T12:57:00+00:00,927
2020-03-16T12:58:00+00:00,869
2020-03-16T12:59:00+00:00,892
2020-03-16T13:00:00+00:00,979
2020-03-16T13:01:00+00:00,1005
2020-03-16T13:02:00+00:00,1007
2020-03-16T13:03:00+00:00,1029
2020-03-16T13:04:00+00:00,984
2020-03-16T13:05:00+00:00,1105
2020-03-16T13:06:00+00:00,1191
2020-03-16T13:07:00+00:00,1196
2020-03-16T13:08:00+00:00,1209
2020-03-16T13:09:00+00:00,1201
2020-03-16T13:10:00+00:00,1047
2020-03-16T13:11:00+00:00,999
2020-03-16T13:12:00+00:00,982
2020-03-16T13:13:00+00:00,940
2020-03-16T13:14:00+00:00,959
2020-03-16T13:15:00+00:00,1007
2020-03-16T13:16:00+00:00,990
2020-03-16T13:17:00+00:00,912
2020-03-16T13:18:00+00:00,878
2020-03-16T13:19:00+00:00,852
2020-03-16T13:20:00+00:00,819
2020-03-16T13:21:00+00:00,805
2020-03-16T13:22:00+00:00,841
2020-03-16T13:23:00+00:00,828
2020-03-16T13:24:00+00:00,750
2020-03-16T13:25:00+00:00,713
2020-03-16T13:26:00+00:00,734
2020-03-16T13:27:00+00:00,686
2020-03-16T13:28:00+00:00,665
2020-03-16T13:29:00+00:00,668
2020-03-16T13:30:00+00:00,687
2020-03-16T13:31:00+00:00,741
2020-03-16T13:32:00+00:00,721
2020-03-16T13:33:00+00:00,739
2020-03-16T13:34:00+00:00,808
2020-03-16T13:35:00+00:00,879
2020-03-16T13:36:00+00:00,925
2020-03-16T13:37:00+00:00,938
2020-03-16T13:38:00+00:00,852
2020-03-16T13:39:00+00:00,878
2020-03-16T13:40:00+00:00,883
2020-03-16T13:41:00+00:00,720
2020-03-16T13:42:00+00:00,751
2020-03-16T13:43:00+00:00,877
2020-03-16T13:44:00+00:00,1117
2020-03-16T13:45:00+00:00,1213
2020-03-16T13:46:00+00:00,1290
2020-03-16T13:47:00+00:00,1333
2020-03-16T13:48:00+00:00,1288
2020-03-16T13:49:00+00:00,1512
2020-03-16T13:50:00+00:00,1262
2020-03-16T13:51:00+00:00,651
2020-03-16T13:52:00+00:00,593
2020-03-16T13:53:00+00:00,572
2020-03-16T13:54:00+00:00,489
2020-03-16T13:55:00+00:00,565
2020-03-16T13:56:00+00:00,552
2020-03-16T13:57:00+00:00,588
2020-03-16T13:58:00+00:00,559
2020-03-16T13:59:00+00:00,557
2020-03-16T14:00:00+00:00,587
2020-03-16T14:01:00+00:00,652
2020-03-16T14:02:00+00:00,634
2020-03-16T14:03:00+00:00,658
2020-03-16T14:04:00+00:00,659
2020-03-16T14:05:00+00:00,768
2020-03-16T14:06:00+00:00,931
2020-03-16T14:07:00+00:00,1036
2020-03-16T14:08:00+00:00,1207
2020-03-16T14:09:00+00:00,1038
2020-03-16T14:10:00+00:00,1254
2020-03-16T14:11:00+00:00,1478
2020-03-16T14:12:00+00:00,1509
2020-03-16T14:13:00+00:00,703
2020-03-16T14:14:00+00:00,1632
2020-03-16T14:15:00+00:00,1416
2020-03-16T14:16:00+00:00,1472
2020-03-16T14:17:00+00:00,1570
2020-03-16T14:18:00+00:00,482
2020-03-16T14:19:00+00:00,644
2020-03-16T14:20:00+00:00,487
2020-03-16T14:21:00+00:00,390
2020-03-16T14:22:00+00:00,655
2020-03-16T14:23:00+00:00,468
2020-03-16T14:24:00+00:00,421
2020-03-16T14:25:00+00:00,476
2020-03-16T14:26:00+00:00,518
2020-03-16T14:27:00+00:00,541
2020-03-16T14:28:00+00:00,
2020-03-16T14:29:00+00:00,486
2020-03-16T14:30:00+00:00,677
2020-03-16T14:31:00+00:00,526
2020-03-16T14:32:00+00:00,626
2020-03-16T14:33:00+00:00,1231
2020-03-16T14:34:00+00:00,1432
2020-03-16T14:35:00+00:00,1464
2020-03-16T14:36:00+00:00,1129
2020-03-16T14:37:00+00:00,1339
2020-03-16T14:38:00+00:00,1250
2020-03-16T14:39:00+00:00,359
2020-03-16T14:40:00+00:00,814
2020-03-16T14:41:00+00:00,882
2020-03-16T14:42:00+00:00,940
2020-03-16T14:43:00+00:00,1153
2020-03-16T14:44:00+00:00,1220
2020-03-16T14:45:00+00:00,1074
2020-03-16T14:46:00+00:00,854
2020-03-16T14:47:00+00:00,620
2020-03-16T14:48:00+00:00,280
2020-03-16T14:49:00+00:00,371
2020-03-16T14:50:00+00:00,288
2020-03-16T14:51:00+00:00,361
